expression                                                                    	plurality 	Yago4          	manifestation               	modifiers            	vagueness
Alpha Kappa Alpha Sorority, Inc.                                              	instance  	Organization   	named                       	MODIFIERS            	MISC
the first historically African American Greek-lettered sorority               	instance  	Organization   	determined                  	adjective            	NOT_VAGUE
The organization                                                              	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
five basic tenets                                                             	class     	CreativeWork   	numbered                    	adjective            	NOT_VAGUE
high scholastic and ethical standards                                         	class     	CreativeWork   	undetermined                	adjective            	portions subjective
unity and friendship among college women                                      	class     	Intangible     	mass_noun                   	preposition          	NOT_VAGUE
problems concerning girls and women                                           	class     	Intangible     	undetermined                	preposition          	portions subjective
their social stature                                                          	instance  	Intangible     	qualified_anaphora mass_noun	adjective            	subjective
a progressive interest in college life                                        	instance  	Intangible     	undetermined                	adjective preposition	subjective
'Service to All Mankind'                                                      	instance  	Action         	mass_noun                   	preposition          	subjective
The sorority                                                                  	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
the historically black Howard University in Washington D.C.                   	instance  	Organization   	determined named            	adjective preposition	NOT_VAGUE
a group of sixteen students                                                   	instance  	Person         	numbered                    	adjective preposition	NOT_VAGUE
Ethel Hedgeman Lyle                                                           	instance  	Person         	named                       	MODIFIERS            	MISC
a sorority                                                                    	instance  	Organization   	undetermined anaphora       	MODIFIERS            	NOT_VAGUE
barriers                                                                      	class     	Intangible     	undetermined                	adjective            	portions
African-American women                                                        	class     	Person         	undetermined                	adjective            	portions
areas                                                                         	class     	Intangible     	undetermined                	MODIFIERS            	portions
little power or authority                                                     	instance  	Intangible     	mass_noun                   	adjective            	subjective
a lack of opportunities for minorities and women in the early 20th century    	instance  	Intangible     	undetermined                	preposition          	portions subjective degree
Alpha Kappa Alpha                                                             	instance  	Organization   	named                       	MODIFIERS            	MISC
The sorority                                                                  	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
one of the nation's largest Greek-letter organizations                        	class     	Organization   	determined                   	adjective            	portions
college-educated women of many diverse backgrounds from around the world      	class     	Person         	undetermined                	adjective preposition	portions subjective
a membership of more than 300,000 women in 1,024 chapters in the United States	instance  	Intangible     	undetermined                	preposition          	portions degree
several other countries                                                       	class     	Organization   	numbered                    	adjective            	degree portions
Women                                                                         	class     	Person         	undetermined                	MODIFIERS            	portions
undergraduate chapters at a college or university                             	class     	Organization   	undetermined                	adjective preposition	portions
a graduate chapter                                                            	instance  	Organization   	undetermined                	adjective            	NOT_VAGUE
an undergraduate or advanced college degree                                   	instance  	CreativeWork   	undetermined                	adjective            	NOT_VAGUE
the organization's establishment                                              	instance  	Event          	determined                  	MODIFIERS            	NOT_VAGUE
Alpha Kappa Alpha                                                             	instance  	Organization   	named                       	MODIFIERS            	NOT_VAGUE
social and economic conditions                                                	class     	Intangible     	undetermined                	adjective            	portions subjective
community service programs                                                    	class     	CreativeWork   	undetermined                	adjective            	portions
Members                                                                       	class     	Person         	undetermined                	MODIFIERS            	NOT_VAGUE
education                                                                     	instance  	Action         	mass_noun                   	MODIFIERS            	subjective
independent initiatives                                                       	class     	Action         	undetermined                	adjective            	portions
community-building                                                            	class     	Action         	undetermined                	MODIFIERS            	portions
creating programs                                                             	class     	Action         	undetermined                	adjective            	portions
associations                                                                  	class     	Organization   	undetermined                	MODIFIERS            	portions
the Mississippi Health Clinic                                                 	instance  	Organization   	determined named            	MODIFIERS            	NOT_VAGUE
federal legislation                                                           	instance  	CreativeWork   	mass_noun                   	adjective            	portions
Congressional lobbying                                                        	instance  	Action         	mass_noun                   	adjective            	portions
the National Non-Partisan Lobby on Civil and Democratic Rights                	instance  	Organization   	determined named            	adjective preposition	NOT_VAGUE
The sorority                                                                  	instance  	Organization   	determined anaphora         	MODIFIERS            	NOT_VAGUE
communities                                                                   	class     	Organization   	undetermined                	MODIFIERS            	portions
service initiatives                                                           	class     	Action         	undetermined                	adjective            	portions
progressive programs                                                          	class     	CreativeWork   	undetermined                	adjective            	portions subjective
education                                                                     	instance  	Action         	mass_noun                   	MODIFIERS            	NOT_VAGUE
family                                                                        	instance  	Intangible     	mass_noun                   	MODIFIERS            	NOT_VAGUE
health                                                                        	instance  	Intangible     	mass_noun                   	MODIFIERS            	NOT_VAGUE
business                                                                      	instance  	Intangible     	mass_noun                   	MODIFIERS            	NOT_VAGUE
Alpha Kappa Alpha                                                             	instance  	Organization   	named                       	MODIFIERS            	NOT_VAGUE
part of the National Pan-Hellenic Council                                     	instance  	Organization   	undetermined                	preposition          	portions
The current International President                                           	instance  	Person         	determined anaphora         	adjective            	NOT_VAGUE
Dr. Glenda Glover                                                             	instance  	Person         	named                       	MODIFIERS            	NOT_VAGUE
the sorority's document and pictorial archives                                	instance  	CreativeWork   	determined                  	adjective            	portions
Moorland-Spingarn Research Center                                             	instance  	Place          	named                       	MODIFIERS            	NOT_VAGUE
