expression                                                                	plurality 	Yago4          	manifestation           	modifiers            	vagueness
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
a chemical element                                                        	instance  	BioChemEntity  	undetermined            	adjective            	NOT_VAGUE
the symbol AI                                                             	instance  	CreativeWork   	named                   	MODIFIERS            	MISC
atomic number 13                                                          	instance  	Intangible     	named                   	adjective            	MISC
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
a density lower than those of other common metals                         	instance  	Intangible     	undetermined            	adjective preposition	MISC
one third that of steel                                                   	instance  	Intangible     	numbered                	preposition          	MISC
a great affinity towards oxygen                                           	instance  	Intangible     	undetermined            	adjective preposition	degree
a protective layer of oxide on the surface                                	instance  	BioChemEntity  	undetermined            	preposition          	MISC
air                                                                       	instance  	BioChemEntity  	mass_noun               	MODIFIERS            	MISC
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
silver                                                                    	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
its color                                                                 	instance  	Intangible     	qualified_anaphora      	MODIFIERS            	MISC
its great ability to reflect light                                        	instance  	Intangible     	qualified_anaphora      	adjective preposition	degree
It                                                                        	instance  	BioChemEntity  	anaphora                	MODIFIERS            	MISC
It                                                                        	instance  	BioChemEntity  	anaphora                	MODIFIERS            	MISC
one stable isotope, 27Al                                                  	instance  	BioChemEntity  	named numbered          	MODIFIERS            	MISC
this isotope                                                              	instance  	BioChemEntity  	anaphora                	MODIFIERS            	MISC
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
the twelfth most common element in the Universe                           	instance  	BioChemEntity  	determined              	preposition adjective	MISC
The radioactivity of 26Al                                                 	instance  	intangible     	determined              	preposition          	MISC
radiodating                                                               	instance  	Action         	mass_noun               	MODIFIERS            	MISC
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
a weak metal in the boron group                                           	instance  	BioChemEntity  	undetermined            	preposition          	MISC
the group                                                                 	class     	BioChemEntity  	determined              	MODIFIERS            	MISC
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
compounds                                                                 	class     	BioChemEntity  	undetermined            	MODIFIERS            	portions
the +3 oxidation state                                                    	instance  	Intangible     	named determined        	MODIFIERS            	MISC
The aluminium cation Al3+                                                 	instance  	BioChemEntity  	named determined        	MODIFIERS            	MISC
bonds aluminium forms                                                     	class     	BioChemEntity  	undetermined            	MODIFIERS            	portions
covalency                                                                 	instance  	Intangible     	mass_noun               	MODIFIERS            	MISC
The strong affinity towards oxygen                                        	instance  	Intangible     	mass_noun contains_named	adjective preposition	degree
aluminium's common association with oxygen in nature in the form of oxides	instance  	Intangible     	undetermined            	adjective preposition	degree
this reason                                                               	instance  	Intangible     	anaphora                	MODIFIERS            	MISC
Aluminium                                                                 	instance  	BioChemEntity  	named                   	MODIFIERS            	NOT_VAGUE
Earth                                                                     	instance  	Place          	named                   	MODIFIERS            	MISC
