expression                                                        	plurality 	Yago4          	manifestation                    	modifiers                 	vagueness
George Herman Babe Ruth Jr.                                       	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
an American professional baseball player                          	instance  	Person         	undetermined contains_named      	adjective noun            	NOT_VAGUE
career in Major League Baseball                                   	instance  	Intangible     	named                            	preposition               	NOT_VAGUE
22 seasons                                                        	class     	Event          	numbered                         	MODIFIERS                 	NOT_VAGUE
The Bambino                                                       	instance  	Person         	determined named                 	MODIFIERS                 	NOT_VAGUE
The Sultan of Swat                                                	instance  	Person         	determined named                 	preposition               	NOT_VAGUE
his MLB career                                                    	instance  	Intangible     	qualified_anaphora contains_named	MODIFIERS                 	NOT_VAGUE
a star left-handed pitcher for the Boston Red Sox                 	instance  	Person         	undetermined named               	adjective preposition     	NOT_VAGUE
his greatest fame                                                 	instance  	Intangible     	qualified_anaphora               	adjective                 	subjective
a slugging outfielder for the New York Yankees                    	instance  	Person         	undetermined named               	adjective preposition     	NOT_VAGUE
Ruth                                                              	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
many MLB batting records                                          	class     	Event          	numbered contains_named          	adjective                 	degree portions
career home runs                                                  	class     	Action         	undetermined                     	noun                      	NOT_VAGUE
runs                                                              	class     	Action         	undetermined                     	MODIFIERS                 	NOT_VAGUE
bases on balls                                                    	class     	Action         	undetermined                     	preposition               	NOT_VAGUE
slugging percentage                                               	instance  	Action         	undetermined                     	adjective                 	NOT_VAGUE
on-base plus slugging                                             	instance  	Action         	undetermined                     	noun                      	NOT_VAGUE
Ruth                                                              	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
one of the greatest sports heroes in American culture             	class     	Person         	determined                       	adjective preposition     	degree portions
the greatest baseball player of all time                          	instance  	Person         	determined mass_noun             	adjective noun preposition	NOT_VAGUE
Ruth                                                              	instance  	Person         	named                            	MODIFIERS                 	NOT_VAGUE
the Baseball Hall of Fame                                         	instance  	Organization   	determined named                 	preposition               	NOT_VAGUE
its first five inaugural members                                  	class     	Person         	qualified_anaphora numbered      	adjective                 	portions
St. Mary's Industrial School for Boys                             	instance  	Organization   	named                            	preposition               	NOT_VAGUE
