expression                                                            	plurality 	Yago4          	manifestation                    	modifiers            	vagueness
General relativity                                                    	instance  	CreativeWork   	mass_noun                        	adjective            	NOT_VAGUE
the general theory of relativity                                      	instance  	CreativeWork   	determined                       	adjective preposition	NOT_VAGUE
the geometric theory of gravitation                                   	instance  	CreativeWork   	determined                       	adjective preposition	NOT_VAGUE
Albert Einstein                                                       	instance  	person         	named                            	MODIFIERS            	NOT_VAGUE
the current description of gravitation in modern physics              	instance  	CreativeWork   	determined                       	adjective preposition	NOT_VAGUE
special relativity                                                    	instance  	CreativeWork   	mass_noun                        	adjective            	NOT_VAGUE
Newton's law of universal gravitation                                 	class     	CreativeWork   	named                            	adjective preposition	NOT_VAGUE
a unified description of gravity                                      	instance  	CreativeWork   	undetermined                     	adjective preposition	NOT_VAGUE
a geometric property of space and time                                	instance  	Intangible     	undetermined                     	adjective preposition	NOT_VAGUE
four-dimensional spacetime                                            	instance  	intangible     	mass_noun                        	adjective            	NOT_VAGUE
the curvature of spacetime                                            	instance  	intangible     	determined mass_noun             	preposition          	NOT_VAGUE
the energy                                                            	instance  	intangible     	determined mass_noun             	MODIFIERS            	NOT_VAGUE
momentum                                                              	instance  	intangible     	mass_noun                        	MODIFIERS            	NOT_VAGUE
matter                                                                	instance  	intangible     	mass_noun                        	MODIFIERS            	NOT_VAGUE
radiation                                                             	instance  	intangible     	mass_noun                        	MODIFIERS            	NOT_VAGUE
The relation                                                          	instance  	intangible     	determined                       	MODIFIERS            	NOT_VAGUE
the Einstein field equations                                          	class     	CreativeWork   	determined contains_named        	noun                 	NOT_VAGUE
a system of partial differential equations                            	instance  	CreativeWork   	undetermined                     	adjective preposition	NOT_VAGUE
Some predictions of general relativity                                	class     	intangible     	numbered                         	preposition          	degree portions
classical physics                                                     	class     	CreativeWork   	mass_noun                        	adjective            	portions
the passage of time                                                   	instance  	intangible     	determined mass_noun             	preposition          	NOT_VAGUE
the geometry of space                                                 	instance  	intangible     	determined mass_noun             	preposition          	NOT_VAGUE
the motion of bodies                                                  	class     	intangible     	determined mass_noun             	preposition          	NOT_VAGUE
free fall                                                             	instance  	intangible     	mass_noun                        	adjective            	NOT_VAGUE
