expression                                                                       	plurality 	Yago4          	manifestation                      	modifiers                 	vagueness
The dating of the Norte Chico                                                    	instance  	Action         	determined contains_named          	preposition               	NOT_VAGUE
the estimated beginning date of complex societies in the Peruvian region         	instance  	Intangible     	determined                         	adjective preposition noun	subjective portions
one thousand years                                                               	class     	Event          	numbered                           	MODIFIERS                 	NOT_VAGUE
The Chavín culture                                                               	instance  	Organization   	determined contains_named          	MODIFIERS                 	NOT_VAGUE
the first civilization of the area                                               	instance  	Organization   	determined                         	adjective preposition     	NOT_VAGUE
general works                                                                    	class     	CreativeWork   	undetermined                       	adjective                 	portions
The discovery of Norte Chico                                                     	instance  	Event          	determined contains_named          	preposition               	NOT_VAGUE
the focus of research                                                            	instance  	Intangible     	determined                         	preposition               	NOT_VAGUE
the highland areas of the Andes                                                  	class     	Place          	determined contains_named          	preposition               	degree portions
the mountains                                                                    	class     	Place          	determined                         	MODIFIERS                 	portions
the Chavín                                                                       	instance  	Organization   	determined named                   	MODIFIERS                 	NOT_VAGUE
later Inca                                                                       	instance  	Organization   	named                              	MODIFIERS                 	NOT_VAGUE
their major centers                                                              	class     	Place          	anaphora                           	adjective                 	subjective portions
the Peruvian littoral                                                            	instance  	Place          	determined                         	adjective                 	NOT_VAGUE
coastal regions                                                                  	class     	Place          	undetermined                       	adjective                 	portions
Norte Chico                                                                      	instance  	Place          	named                              	MODIFIERS                 	NOT_VAGUE
a north-central area of the coast                                                	instance  	Place          	undetermined                       	adjective preposition     	NOT_VAGUE
Lima                                                                             	instance  	Place          	named                              	MODIFIERS                 	NOT_VAGUE
the Lurín Valley on the south                                                    	instance  	Place          	determined named                   	preposition               	NOT_VAGUE
the Casma Valley on the north                                                    	instance  	Place          	determined named                   	preposition               	NOT_VAGUE
four coastal valleys                                                             	instance  	Place          	numbered                           	adjective                 	NOT_VAGUE
the Huaura                                                                       	instance  	Place          	determined named                   	MODIFIERS                 	NOT_VAGUE
Supe                                                                             	instance  	Place          	named                              	MODIFIERS                 	NOT_VAGUE
