expression                                                                    	plurality 	Yago4          	manifestation                     	modifiers                 	vagueness
Political Animals and Animal Politics                                         	instance  	CreativeWork   	named                             	MODIFIERS                 	NOT_VAGUE
a 2014 edited collection                                                      	class     	CreativeWork   	undetermined                      	adjective                 	NOT_VAGUE
Palgrave Macmillan                                                            	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
the green political theorists Marcel Wissenburg and David Schlosberg          	class     	Person         	determined named                  	adjective noun            	NOT_VAGUE
The work                                                                      	instance  	CreativeWork   	determined anaphora               	MODIFIERS                 	NOT_VAGUE
the emergence of academic animal ethics                                       	class     	Intangible     	determined                        	adjective noun preposition	subjective
political philosophy                                                          	instance  	CreativeWork   	mass_noun                         	adjective                 	NOT_VAGUE
moral philosophy                                                              	instance  	CreativeWork   	mass_noun                         	adjective                 	NOT_VAGUE
the first edited collection                                                   	class     	CreativeWork   	determined                        	adjective                 	NOT_VAGUE
the topic                                                                     	instance  	Intangible     	determined anaphora               	MODIFIERS                 	NOT_VAGUE
the first book-length attempt                                                 	instance  	CreativeWork   	determined                        	adjective                 	degree
the breadth and boundaries of the literature                                  	class     	Intangible     	determined                        	preposition               	subjective
a substantial introduction by the editors                                     	class     	CreativeWork   	undetermined                      	adjective preposition     	degree
ten sole-authored chapters                                                    	class     	CreativeWork   	undetermined numbered             	adjective                 	NOT_VAGUE
three parts                                                                   	class     	CreativeWork   	numbered                          	MODIFIERS                 	not_vague
institutional change for animals                                              	class     	Action         	mass_noun                         	adjective preposition     	subjective
the relationship between animal ethics and ecologism                          	class     	Intangible     	determined mass_noun              	preposition noun          	subjective
real-world laws                                                               	class     	CreativeWork   	undetermined                      	MODIFIERS                 	NOT_VAGUE
the benefit of animals                                                        	class     	Intangible     	determined                        	preposition               	subjective
The book's contributors                                                       	class     	Person         	determined anaphora               	MODIFIERS                 	NOT_VAGUE
Wissenburg                                                                    	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Schlosberg                                                                    	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Manuel Arias-Maldonado                                                        	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Chad Flanders                                                                 	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Christie Smith                                                                	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Clemens Driessen                                                              	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Simon Otjes                                                                   	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Kurtis Boyer                                                                  	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Per-Anders Svärd                                                              	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Mihnea Tanasescu                                                              	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
The focus of their individual chapters                                        	class     	CreativeWork   	determined qualified_anaphora     	adjective preposition     	not_vague
recurring features                                                            	class     	CreativeWork   	undetermined                      	MODIFIERS                 	portions
discussions of human exceptionalism                                           	class     	CreativeWork   	undetermined                      	adjective noun preposition	portions
exploration of ways                                                           	class     	CreativeWork   	mass_noun                         	preposition               	portions subjective
reflections on the relationship between theory and practice in politics       	class     	CreativeWork   	undetermined                      	preposition               	subjective
Political Animals and Animal Politics                                         	instance  	CreativeWork   	named                             	MODIFIERS                 	NOT_VAGUE
a workshop                                                                    	instance  	Event          	undetermined                      	MODIFIERS                 	NOT_VAGUE
Wissenburg                                                                    	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Schlosberg                                                                    	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
the 2012 European Consortium for Political Research Joint Sessions conference 	instance  	Event          	determined named                  	adjective preposition     	NOT_VAGUE
all attendees                                                                 	class     	Person         	undetermined                      	MODIFIERS                 	NOT_VAGUE
the volume                                                                    	instance  	CreativeWork   	determined anaphora               	MODIFIERS                 	NOT_VAGUE
all contributors                                                              	class     	Person         	anaphora                          	MODIFIERS                 	NOT_VAGUE
the workshop                                                                  	instance  	Event          	determined                        	MODIFIERS                 	NOT_VAGUE
Footage of the workshop                                                       	instance  	CreativeWork   	undetermined                      	preposition               	NOT_VAGUE
De Haas in de Marathon                                                        	instance  	CreativeWork   	named                             	MODIFIERS                 	NOT_VAGUE
a 2012 documentary about the Dutch Party for the Animals                      	class     	CreativeWork   	undetermined contains_named       	preposition               	NOT_VAGUE
Political Animals and Animal Politics                                         	instance  	CreativeWork   	named                             	MODIFIERS                 	NOT_VAGUE
the Palgrave Macmillan Animal Ethics Series                                   	class     	CreativeWork   	determined named                  	MODIFIERS                 	NOT_VAGUE
Andrew Linzey                                                                 	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Priscilla Cohn                                                                	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Reviewers                                                                     	class     	Person         	undetermined                      	MODIFIERS                 	portions
the contributions from Driessen, Flanders and Boyer                           	class     	CreativeWork   	determined anaphora contains_named	preposition               	NOT_VAGUE
the inclusion of chapters                                                     	class     	CreativeWork   	determined                        	preposition               	portions
the environment                                                               	instance  	Intangible     	determined                        	MODIFIERS                 	NOT_VAGUE
the book's failure                                                            	instance  	Intangible     	determined                        	MODIFIERS                 	subjective
the work of,the key voices in the politically focused animal ethics literature	class     	Person         	determined                        	adjective noun preposition	portions
Robert Garner                                                                 	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Sue Donaldson                                                                 	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Will Kymlicka                                                                 	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Alasdair Cochrane                                                             	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Kimberly Smith                                                                	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Siobhan O'Sullivan                                                            	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Wissenburg's chapter                                                          	instance  	CreativeWork   	named                             	MODIFIERS                 	NOT_VAGUE
the one                                                                       	instance  	CreativeWork   	determined anaphora               	MODIFIERS                 	NOT_VAGUE
this literature                                                               	instance  	CreativeWork   	qualified_anaphora                	MODIFIERS                 	NOT_VAGUE
his approach                                                                  	instance  	CreativeWork   	qualified_anaphora                	MODIFIERS                 	NOT_VAGUE
a negative one                                                                	instance  	CreativeWork   	undetermined anaphora             	adjective                 	subjective
Garner                                                                        	instance  	Person         	named                             	MODIFIERS                 	NOT_VAGUE
Political Animals and Animal Politics                                         	instance  	CreativeWork   	named                             	MODIFIERS                 	NOT_VAGUE
its trailblazing                                                              	instance  	intangible     	qualified_anaphora                	modifiers                 	subjective
stronger collections on the same theme                                        	class     	CreativeWork   	undetermined                      	adjective preposition     	subjective portions
