expression                                                                          	plurality 	Yago4          	manifestation                         	modifiers            	vagueness
Yellowstone National Park                                                           	instance  	place          	named                                 	MODIFIERS            	NOT_VAGUE
an American national park                                                           	instance  	place          	undetermined                          	adjective            	NOT_VAGUE
the western United States                                                           	instance  	place          	determined named                      	adjective            	NOT_VAGUE
the northwest corner of Wyoming                                                     	instance  	place          	determined contains_named             	preposition          	NOT_VAGUE
Montana                                                                             	instance  	place          	named                                 	MODIFIERS            	NOT_VAGUE
Idaho                                                                               	instance  	place          	named                                 	MODIFIERS            	NOT_VAGUE
the U.S. Congress                                                                   	instance  	Organization   	determined named                      	MODIFIERS            	NOT_VAGUE
law                                                                                 	instance  	creativework   	mass_noun                             	modifiers            	NOT_VAGUE
President Ulysses S. Grant                                                          	instance  	Person         	named                                 	preposition          	NOT_VAGUE
Yellowstone                                                                         	instance  	place          	named                                 	MODIFIERS            	NOT_VAGUE
the first national park in the U.S                                                  	instance  	place          	determined contains_named             	adjective preposition	NOT_VAGUE
the first national park in the world                                                	instance  	place          	determined                            	adjective preposition	NOT_VAGUE
The park                                                                            	instance  	place          	determined anaphora                   	MODIFIERS            	NOT_VAGUE
its wildlife                                                                        	instance  	place          	qualified_anaphora mass_noun          	MODIFIERS            	NOT_VAGUE
its many geothermal features                                                        	class     	intangible     	determined numbered qualified_anaphora	adjective            	degree portions
Old Faithful geyser                                                                 	instance  	place          	named                                 	MODIFIERS            	NOT_VAGUE
one of its most popular                                                             	instance  	intangible     	qualified_anaphora                    	adjective preposition	portions subjective
many types of biomes                                                                	class     	intangible     	undetermined numbered                 	preposition          	portions degree
the subalpine forest                                                                	instance  	taxon          	determined                            	MODIFIERS            	NOT_VAGUE
part of the South Central Rockies forests ecoregion                                 	instance  	place          	mass_noun contains_named              	preposition          	subjective
Native Americans                                                                    	class     	person         	undetermined named                    	modifiers            	portions
the Yellowstone region                                                              	instance  	place          	determined contains_named             	MODIFIERS            	NOT_VAGUE
at least 11,000 years                                                               	class     	intangible     	numbered                              	MODIFIERS            	degree
visits by mountain men                                                              	class     	action         	undetermined                          	preposition          	NOT_VAGUE
the early-to-mid-19th century                                                       	instance  	event          	determined                            	adjective            	NOT_VAGUE
organized exploration                                                               	instance  	action         	mass_noun                             	adjective            	NOT_VAGUE
the late 1860s                                                                      	class     	event          	determined                            	adjective            	degree
Management and control of the park                                                  	instance  	action         	undetermined mass_noun                	preposition          	NOT_VAGUE
the jurisdiction of the United States Department of the Interior                    	instance  	organization   	determined mass_noun contains_named   	preposition          	NOT_VAGUE
the first Secretary of the Interior                                                 	instance  	person         	determined named                      	adjective preposition	NOT_VAGUE
the park                                                                            	instance  	place          	determined anaphora                   	MODIFIERS            	NOT_VAGUE
Columbus Delano                                                                     	instance  	person         	named                                 	adjective preposition	NOT_VAGUE
the U.S. Army                                                                       	instance  	organization   	determined named                      	MODIFIERS            	NOT_VAGUE
management of Yellowstone                                                           	instance  	action         	mass_noun contains_named              	preposition          	NOT_VAGUE
a 30-year period                                                                    	instance  	event          	undetermined                          	adjective            	NOT_VAGUE
administration of the park                                                          	instance  	action         	mass_noun                             	preposition          	NOT_VAGUE
the National Park Service                                                           	instance  	organization   	determined named                      	MODIFIERS            	NOT_VAGUE
the previous year                                                                   	instance  	event          	determined                            	adjective            	NOT_VAGUE
Hundreds of structures                                                              	class     	creativework   	undetermined                          	preposition          	portions
their architectural and historical significance                                     	instance  	intangible     	mass_noun                             	adjective            	subjective
researchers                                                                         	class     	person         	undetermined                          	MODIFIERS            	portions
more than a thousand archaeological sites                                           	class     	place          	undetermined numbered                 	adjective            	portions
Yellowstone National Park                                                           	instance  	place          	named                                 	MODIFIERS            	NOT_VAGUE
an area of 3,468.4 sq mi (8,983 km2)                                                	instance  	intangible     	undetermined numbered                 	preposition          	NOT_VAGUE
lakes                                                                               	class     	place          	undetermined                          	MODIFIERS            	portions
